sample_ID,temperature,treatment,rep_#,experiment,chl_a_phyto
8C-1,8,Control,1,Temp x Warming,23.52
8C-2,8,Control,2,Temp x Warming,11.44
8C-3,8,Control,3,Temp x Warming,23.30
8C-4,8,Control,4,Temp x Warming,25.36
8C-5,8,Control,5,Temp x Warming,22.91
8C-6,8,Control,6,Temp x Warming,13.15
12C-1,12,Control,1,Temp x Warming,9.12
12C-2,12,Control,2,Temp x Warming,23.55
12C-3,12,Control,3,Temp x Warming,27.59
12C-4,12,Control,4,Temp x Warming,21.20
12C-5,12,Control,5,Temp x Warming,32.49
12C-6,12,Control,6,Temp x Warming,22.32
16C-1,16,Control,1,Temp x Warming,13.77
16C-2,16,Control,2,Temp x Warming,9.00
16C-3,16,Control,3,Temp x Warming,21.15
16C-4,16,Control,4,Temp x Warming,20.69
16C-5,16,Control,5,Temp x Warming,20.72
16C-6,16,Control,6,Temp x Warming,30.70
8NP-1,8,N+P,1,Temp x Warming,73.11
8NP-2,8,N+P,2,Temp x Warming,81.57
8NP-3,8,N+P,3,Temp x Warming,74.25
8NP-4,8,N+P,4,Temp x Warming,68.97
8NP-5,8,N+P,5,Temp x Warming,66.42
8NP-6,8,N+P,6,Temp x Warming,66.37
12NP-1,12,N+P,1,Temp x Warming,73.35
12NP-2,12,N+P,2,Temp x Warming,59.88
12NP-3,12,N+P,3,Temp x Warming,66.66
12NP-4,12,N+P,4,Temp x Warming,61.60
12NP-5,12,N+P,5,Temp x Warming,59.70
12NP-6,12,N+P,6,Temp x Warming,69.51
16NP-1,16,N+P,1,Temp x Warming,44.71
16NP-2,16,N+P,2,Temp x Warming,44.36
16NP-3,16,N+P,3,Temp x Warming,53.73
16NP-4,16,N+P,4,Temp x Warming,20.12
16NP-5,16,N+P,5,Temp x Warming,40.30
16NP-6,16,N+P,6,Temp x Warming,53.62
8N-1,8,Nitrogen,1,Temp x Warming,14.74
8N-2,8,Nitrogen,2,Temp x Warming,16.69
8N-3,8,Nitrogen,3,Temp x Warming,12.76
8N-4,8,Nitrogen,4,Temp x Warming,27.54
8N-5,8,Nitrogen,5,Temp x Warming,19.20
8N-6,8,Nitrogen,6,Temp x Warming,28.52
12N-1,12,Nitrogen,1,Temp x Warming,34.54
12N-2,12,Nitrogen,2,Temp x Warming,30.09
12N-3,12,Nitrogen,3,Temp x Warming,14.40
12N-4,12,Nitrogen,4,Temp x Warming,14.38
12N-5,12,Nitrogen,5,Temp x Warming,17.52
12N-6,12,Nitrogen,6,Temp x Warming,15.91
16N-1,16,Nitrogen,1,Temp x Warming,30.41
16N-2,16,Nitrogen,2,Temp x Warming,49.24
16N-3,16,Nitrogen,3,Temp x Warming,39.04
16N-4,16,Nitrogen,4,Temp x Warming,35.30
16N-5,16,Nitrogen,5,Temp x Warming,37.58
16N-6,16,Nitrogen,6,Temp x Warming,36.30
8P-1,8,Phosphorus,1,Temp x Warming,26.18
8P-2,8,Phosphorus,2,Temp x Warming,NA
8P-3,8,Phosphorus,3,Temp x Warming,20.96
8P-4,8,Phosphorus,4,Temp x Warming,36.91
8P-5,8,Phosphorus,5,Temp x Warming,24.74
8P-6,8,Phosphorus,6,Temp x Warming,27.86
12P-1,12,Phosphorus,1,Temp x Warming,8.14
12P-2,12,Phosphorus,2,Temp x Warming,22.10
12P-3,12,Phosphorus,3,Temp x Warming,11.70
12P-4,12,Phosphorus,4,Temp x Warming,23.87
12P-5,12,Phosphorus,5,Temp x Warming,21.98
12P-6,12,Phosphorus,6,Temp x Warming,18.50
16P-1,16,Phosphorus,1,Temp x Warming,16.24
16P-2,16,Phosphorus,2,Temp x Warming,19.84
16P-3,16,Phosphorus,3,Temp x Warming,16.57
16P-4,16,Phosphorus,4,Temp x Warming,23.54
16P-5,16,Phosphorus,5,Temp x Warming,15.89
16P-6,16,Phosphorus,6,Temp x Warming,27.00